symbol,value
‰,0
—,1
Ž,2
‘,3
ˆ,4
…,5
‹,6
‡,7
Ž,8
’,9
–,10
›,11
“,12
‰,13
€,14
‹,15
š,16
—,17
‚,18
Ÿ,19
•,20
‘,21
ž,22
€,23
Œ,24
š,25
Ž,26
”,27
†,28
„,29
š,30
…,31
…,32
Ÿ,33
œ,34
†,35
™,36
š,37
›,38
™,39
•,40
—,41
›,42
š,43
Š,44
ž,45
€,46
†,47
‚,48
›,49
‡,50
„,51
ž,52
ˆ,53
“,54
‘,55
Ž,56
†,57
œ,58
Œ,59
—,60
…,61
„,62
†,63
Š,64
Ÿ,65
‘,66
™,67
“,68
‹,69
œ,70
“,71
ƒ,72
†,73
”,74
†,75
Œ,76
‡,77
‚,78
‡,79
š,80
—,81
‰,82
—,83
ƒ,84
ˆ,85
‘,86
ˆ,87
Š,88
™,89
‚,90
„,91
…,92
‚,93
€,94
›,95
œ,96
œ,97
š,98
™,99
’,100
Š,101
•,102
›,103
…,104
‚,105
‹,106
š,107
‡,108
Ÿ,109
‘,110
”,111
‚,112
‚,113
—,114
œ,115
‹,116
†,117
Ž,118
—,119
‘,120
—,121
ƒ,122
“,123
š,124
Ž,125
œ,126
’,127
’,128
–,129
‹,130
”,131
œ,132
„,133
…,134
‚,135
Š,136
–,137
ˆ,138
‰,139
–,140
“,141
’,142
›,143
Œ,144
™,145
ˆ,146
“,147
…,148
‘,149
€,150
“,151
ƒ,152
“,153
‹,154
–,155
Š,156
–,157
”,158
ž,159
‚,160
Ÿ,161
›,162
ˆ,163
Ž,164
—,165
˜,166
‰,167
Ÿ,168
Œ,169
…,170
‚,171
•,172
†,173
‚,174
•,175
’,176
‚,177
‡,178
‰,179
ž,180
Œ,181
‘,182
–,183
…,184
’,185
Ž,186
‹,187
‘,188
‚,189
ˆ,190
–,191
ƒ,192
†,193
›,194
Ž,195
™,196
’,197
ˆ,198
…,199
Ÿ,200
›,201
…,202
‹,203
Š,204
‘,205
ž,206
—,207
Ÿ,208
‘,209
š,210
œ,211
‡,212
„,213
›,214
š,215
Ÿ,216
†,217
˜,218
‹,219
ž,220
…,221
–,222
•,223
‚,224
“,225
”,226
™,227
š,228
ƒ,229
…,230
–,231
ˆ,232
œ,233
›,234
˜,235
ƒ,236
“,237
š,238
”,239
ž,240
•,241
’,242
…,243
Œ,244
„,245
Ž,246
›,247
Ÿ,248
Ÿ,249
†,250
ƒ,251
ƒ,252
‡,253
‚,254
€,255
œ,256
’,257
‰,258
—,259
Ž,260
†,261
‚,262
“,263
–,264
Œ,265
Ž,266
€,267
’,268
„,269
›,270
Ÿ,271
ƒ,272
Œ,273
€,274
—,275
‹,276
œ,277
Œ,278
˜,279
˜,280
š,281
…,282
•,283
—,284
™,285
„,286
‚,287
ž,288
—,289
Š,290
Ÿ,291
ˆ,292
Ž,293
“,294
ž,295
Ž,296
‘,297
’,298
†,299
”,300
Ÿ,301
”,302
š,303
–,304
”,305
‘,306
ˆ,307
˜,308
›,309
‡,310
ž,311
…,312
†,313
’,314
”,315
‘,316
—,317
‡,318
™,319
”,320
“,321
‚,322
š,323
™,324
’,325
…,326
Œ,327
‰,328
„,329
”,330
˜,331
‡,332
•,333
™,334
’,335
ƒ,336
‹,337
ž,338
“,339
”,340
Ž,341
‚,342
Œ,343
‹,344
–,345
…,346
‹,347
š,348
Ÿ,349
–,350
˜,351
‹,352
‹,353
ž,354
€,355
’,356
™,357
ž,358
Ÿ,359
‚,360
’,361
Œ,362
ƒ,363
Ž,364
Š,365
†,366
Ÿ,367
›,368
ž,369
‹,370
—,371
Œ,372
ˆ,373
‹,374
•,375
…,376
Ž,377
˜,378
ˆ,379
ž,380
„,381
ž,382
“,383
—,384
–,385
—,386
‘,387
€,388
Ÿ,389
‡,390
Œ,391
’,392
Š,393
Ÿ,394
˜,395
š,396
†,397
•,398
‰,399
–,400
‹,401
˜,402
›,403
œ,404
˜,405
‰,406
Ž,407
…,408
‚,409
…,410
…,411
—,412
’,413
Š,414
‡,415
™,416
€,417
›,418
ž,419
œ,420
“,421
š,422
‘,423
‡,424
›,425
ž,426
‰,427
‹,428
‹,429
–,430
†,431
ž,432
…,433
‰,434
’,435
š,436
Ž,437
‰,438
†,439
•,440
…,441
–,442
“,443
†,444
—,445
—,446
ƒ,447
’,448
Œ,449
ž,450
‘,451
–,452
€,453
Š,454
ƒ,455
‘,456
“,457
„,458
’,459
‹,460
œ,461
ƒ,462
‰,463
‚,464
Ž,465
†,466
ˆ,467
š,468
Œ,469
ƒ,470
‹,471
‚,472
œ,473
›,474
Œ,475
…,476
ž,477
”,478
”,479
”,480
Œ,481
€,482
Ž,483
…,484
Ÿ,485
†,486
€,487
š,488
„,489
˜,490
…,491
›,492
‹,493
•,494
‹,495
ƒ,496
š,497
™,498
ž,499
